Product_ID,Catagories,Product_Type,Product_Description,headings,Industries_WeldingProcess,Elements,Values
"TIGROD,ER90S-B9",TIG Rods (GTAW),Low Alloy Wires,"Tigrod ER90S-B9 is a solid wire for TIG welding of creep resisting, modified 9% chromium steels, such as ASTM A335 Grade P91 or ASTM A213 T91. Tigrod products are embossed on opposite ends (E2) with the alloy identification.","Industries,Welding Process","Pipeline,Power Generation,Process,Petrochemical,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Tensile Properties,Condition,Elongation,Stress Relieved Temperature,Stress Relieved Testing Time,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Mn,X-Factor,Mo,C,Al,N,Sb,Cr,P,Cu,S,Nb,V,Si,Ni,Classifications: ","Stress Relieved,27 %,1275 °F,1 hr,94 ksi,80 ksi,Stress Relieved,25 %,1300 °F,1 hr,93 ksi,76 ksi,0.60 %,< 15 %,0.90 %,0.10 %,max 0.015 %,0.040-0.070 %,30 PPM max %,2.40 %,0.01 %,max 0.10 %,0.01 %,0.030-0.050 %,0.18-0.25 %,0.50 %,max 0.50 %,ASME SFA 5.28; AWS A5.28; ER90S-B9"
"TIGROD,ER90S-B3",TIG Rods (GTAW),Low Alloy Wires,"Tigrod ER90S-B3 is a Chrome-Moly TIG rod used for joining 2.5% Cr - 1% Mo creep resistant steels. These non-copper-coated rods are primarily used to fabricate and repair power piping, pressure vessels, heat exchangers and boilers in the power generation industry.","Industries,Welding Process","Process,Petrochemical,Power Generation,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Tensile Properties,Condition,Elongation,Stress Relieved Temperature,Stress Relieved Testing Time,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,P,Mn,X-Factor,Cu,Mo,S,C,V,Si,Ni,Cr,Classifications: ","Stress Relieved,27 %,1275 °F,1 hr,94 ksi,79 ksi,Stress Relieved,25 %,1300 °F,1 hr,93 ksi,76 ksi,0.009 %,0.60 %,< 15 %,max 0.20 %,0.90 %,0.009 %,0.08 %,max 0.03 %,0.50 %,max 0.20 %,2.40 %,ASME SFA 5.28; AWS A5.28; ER90S-B3"
"TIGROD,ER80S-B8",TIG Rods (GTAW),Low Alloy Wires,"ER80S-B8 is a non-copper-coated solid wire for TIG welding requiring creep strength. This 9% Chromium - 1% Molybdenum TIG rod is used to weld 9% Chromium - 1% Molybdenum steels (ASTM Section IX, P No 5B, Group 1) such as ASTM A335 Grade P9 or ASTM A213 Grade T9. Tigrod products are embossed on opposite ends with the alloy identification.","Industries,Welding Process","Power Generation,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Tensile Properties,Condition,Elongation,Stress Relieved Temperature,Stress Relieved Testing Time,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,P,Mn,X-Factor,Cu,Mo,S,C,Si,Ni,Cr,Classifications: ","Stress Relieved,24 %,1375 °F,1 hr,97 ksi,78 ksi,0.005 %,0.50 %,< 15 %,max 0.20 %,1.00 %,0.003 %,0.07 %,0.40 %,max 0.50 %,9.00 %,ASME SFA 5.28; AWS A5.28; ER80S-B8"
"TIGROD,ER80S-B6",TIG Rods (GTAW),Low Alloy Wires,"Tigrod ER80S-B6 is a Chrome-Moly TIG rod for joining 5% Cr - 0.5% Mo steels such as ASTM A200-T5, A335-P5 and A387-Gr5. These non-copper-coated rods are primarily used to fabricate and repair power piping, pressure vessels, heat exchangers, and boilers used in the power generation industry. All ESAB ER80S-B6 Tigrod is embossed on both ends with the alloy identification. This grade of rod was previously classified as ER502.","Industries,Welding Process","Process,Petrochemical,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Tensile Properties,Condition,Elongation,Stress Relieved Temperature,Stress Relieved Testing Time,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,P,Mn,X-Factor,Cu,Mo,S,C,V,Si,Ni,Cr,Classifications: ","Stress Relieved,24 %,1350 °F,1 hr,95 ksi,82 ksi,Stress Relieved,26 %,1375 °F,1 hr,93 ksi,80 ksi,0.007 %,0.50 %,< 15 %,max 0.20 %,0.50 %,0.01 %,0.08 %,max 0.03 %,0.40 %,max 0.3 %,5.80 %,ASME SFA 5.28; AWS A5.28; ER80S-B6"
"TIGROD,ER80S-B2",TIG Rods (GTAW),Low Alloy Wires,"Tigrod ER80S-B2 is a chrome-moly TIG rod used for joining creep resistant steels of the 0.5% Cr - 0.5% Mo, 1% Cr - 0.5% Mo, and 1.25% Cr - 0.5% Mo grades. These non-copper-coated rods are primarily used to fabricate and repair power piping and boilers in the power generation industry.","Industries,Welding Process","Process,Petrochemical,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Tensile Properties,Condition,Elongation,Stress Relieved Temperature,Stress Relieved Testing Time,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,P,Mn,X-Factor,Cu,Mo,S,C,V,Si,Ni,Cr,Classifications: ","Stress Relieved,29 %,1150 °F,1 hr,95 ksi,81 ksi,Stress Relieved,24 %,1350 °F,1 hr,95 ksi,82 ksi,Stress Relieved,26 %,1375 °F,1 hr,93 ksi,80 ksi,max 0.012 %,0.40-0.70 %,max 12 %,max 0.20 %,0.40-0.65 %,max 0.025 %,0.07-0.012 %,max 0.03 %,0.40-0.70 %,max 0.20 %,1.20-1.50 %,AWS A5.28; ER80S-B2"
"Tigrod,1450",TIG Rods (GTAW),Alumnium Wires,"OK Tigrod 1450 is highly resistant to chemical attack and weathering. The alloy has a small addition of titanium, which has a grain-refining effect, which reduces cracking susceptibility. It has good welding characteristics. One characteristic feature of the alloy is the bright finishes obtained by anodising. Non-heat treatable.",,,"Typical Tensile Properties,Condition,Elongation,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Mn,Cu,Zn,Ti,Si,Al,Fe,Classifications: ,Alloy Type: ","As Welded,35 %,13 ksi,6 ksi,0.02 %,0.01 %,0.01 %,0.12 %,0.02 %,99.8 %,0.16 %,EN ISO 18273; S Al 1450  (Al99,5Ti); Wire Electrode,Al"
"SPOOLARC,83,Tigrod",TIG Rods (GTAW),Low Alloy Wires,Spoolarc 83 contains 0.5% Mo to provide higher deposit strength in both the as welded and stress relieved conditions. It contains high levels of Manganese and Silicon to provide good wetting and good rust and scale tolerance. Spoolarc 83 is also used for all-position welding of high tensile pipe and tubing commonly found in earthmoving and construction equipment.,Industries,"Industrial and General Fabrication,Automotive,Mobile Equipment,Ship/Barge Building","Typical Weld Metal Analysis %,P,Mn,Cu,Mo,C,S,Si,Ni,Approvals: ,Classifications: ","0.01 %,1.69 %,0.17 %,0.4 %,0.08 %,0.011 %,0.63 %,0.09 %,CWB; CSA W48; CSA; CAN/CSA-ISO14341, B-G 55A 3 G4M31 (ER80S-D2); MIL-E-23765/2; 80S-3,AWS A5.28; ER80S-D2/ER90S-D2; AWS A5.23; EA3K"
"SPOOLARC,86,Tigrod",TIG Rods (GTAW),Mild Steel Wires,"Spoolarc 86 is a copper-coated TIG rod containing high levels of manganese and silicon. Spoolarc 86 is suitable for many carbon steel welding applications using the MIG/Gas Metal Arc Welding (GMAW) process. The high levels of deoxidizers in Spoolarc 86 provide excellent tolerance of rust and mill scale. The high levels of manganese and silicon also provide excellent wetting action and a highly fluid weld puddle. Shielding gas choices for Spoolarc 86 in the GMAW mode are 100% carbon dioxide, argon/carbon dioxide mixtures, argon/oxygen mixtures, and other argon based mixed gas blends. Spoolarc 86 excels in HVAC duct work, heavy equipment fabrication, structural, and other general steel fabrication.","Industries,Welding Process","Automotive,HVAC,Industrial and General Fabrication,Mobile Equipment,Ship/Barge Building,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Weld Metal Analysis %,P,Mn,Mo,Cu,S,C,Si,Ni,Cr,Approvals: ,Classifications: ","0.008 %,1.51 %,0.01 %,0.11 %,0.01 %,0.08 %,0.01 %,0.01 %,0.02 %,LR; 3S,3YS(H15); ABS; AWS A5.18: ER70S-6 H4; CSA; CAN/CSA-ISO14341, B-G 49A 3C G6 (ER49S-6); CWB; CSA W48; MIL-E-23765/1; 70S-6,AWS A5.18; ER70S-6; AWS A5.17; EH11K"
"SPOOLARC,82,Tigrod",TIG Rods (GTAW),Mild Steel Wires,"Spoolarc 82 is a premium quality, general purpose TIG rod subjected to stringent quality control procedures required for certification to Military, Lloyds, and ABS specifications. Spoolarc 82 is recommended for pressure vessel and pipe fabrication, HVAC duct work, and general carbon steel structural welding.","Industries,Welding Process","Automotive,Industrial and General Fabrication,Pipeline,Mobile Equipment,HVAC,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Weld Metal Analysis %,P,Mn,Mo,Cu,C,S,V,Si,Ni,Cr,Approvals: ,Classifications: ","0.011 %,1.18 %,0.01 %,0.16 %,0.09 %,0.007 %,0.004 %,0.58 %,0.02 %,0.03 %,B-G; 49A 2C G3 (ER49S-3); MIL-E-23765/1 70S-3; ABS; AWS A5.18: ER70S-3 H4; CWB CSA W48; CSA CAN/CSA-ISO14341,AWS A5.18; ER70S-3 H4"
"SPOOLARC,95,Tigrod",TIG Rods (GTAW),Low Alloy Wires,"Spoolarc 95 is Military grade high strength TIG rod used to weld HY-80 steels. Applications for Spoolarc 95 include military tanks, ships and submarines.","Industries,Welding Process","Heavy Fabrication,Military Applications,Mining,Ship/Barge Building,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Weld Metal Analysis %,P,Mn,Mo,S,C,V,Si,Ni,Cr,Approvals: ,Classifications: ","0.004 %,1.35 %,0.34 %,0.008 %,0.06 %,0.001 %,0.33 %,1.75 %,0.1 %,CWB; CSA W48; MIL-E-23765/2; 100S-1,AWS A5.28; ER100S-1; AWS A5.23; EM2"
